"id_canasta_basica","precio","year","id_producto"
1,0.62,2018,7
2,0.65,2019,7
3,0.77,2020,7
4,0.6,2021,7
5,1.3,2022,7
6,0.67,2018,6
7,0.7,2019,6
8,1.03,2020,6
9,0.9,2021,6
10,1.35,2022,6
11,0.45,2018,1
12,0.5,2019,1
13,0.52,2020,1
14,0.55,2021,1
15,0.75,2022,1
16,0.55,2018,2
17,0.55,2019,2
18,0.57,2020,2
19,0.6,2021,2
20,0.8,2022,2
21,0.22,2018,9
22,0.2,2019,9
23,0.23,2020,9
24,0.3,2021,9
25,0.35,2022,9
26,0.11,2018,8
27,0.12,2019,8
28,0.13,2020,8
29,0.13,2021,8
30,0.17,2022,8
31,0.5,2018,3
32,0.5,2019,3
33,0.5,2020,3
34,0.5,2021,3
35,0.6,2022,3
36,1.25,2018,4
37,1.29,2019,4
38,1.32,2020,4
39,1.6,2021,4
40,1.6,2022,4
41,4.16,2018,5
42,4.25,2019,5
43,4.36,2020,5
44,5.0,2021,5
45,5.0,2022,5
